ndoc,Date_or_order,Cust_ID,Sum_RUR,Pmnt_RUR
14339516,02.02.17 21:43:49,13,1881,1881
14339683,03.02.17 11:18:51,16,5284,5284
14339696,03.02.17 11:26:28,21,884,884
14339708,03.02.17 11:41:33,15,35678,35678
14339747,03.02.17 12:16:54,4,3088,3088
14340537,04.02.17 16:01:11,12,8355,8355
14340682,04.02.17 20:25:13,16,211,211
14340729,04.02.17 22:31:24,1,471,471
14340735,04.02.17 23:04:15,17,874,874
14341098,05.02.17 15:04:20,20,424,424
14341358,05.02.17 22:18:32,1,300,300
14341883,06.02.17 18:05:48,14,5188,5188
14342254,07.02.17 13:55:44,6,1176,1176
14342282,07.02.17 14:32:59,6,1936,0
14342669,08.02.17 18:08:41,10,7991,7991
14342978,09.02.17 20:22:46,18,5031,5031
14343109,10.02.17 10:36:45,21,13360,13360
14343629,11.02.17 9:07:23,10,4710,4710
14343854,11.02.17 14:13:20,21,3666,3666
14344100,11.02.17 23:55:30,20,756,756
14344523,12.02.17 18:57:22,8,2755,2755
14344650,13.02.17 8:24:08,10,1200,1200
14344900,13.02.17 14:14:41,10,1130,1130
14345143,13.02.17 23:36:00,13,6188,6188
14345211,14.02.17 10:17:36,21,30680,30680
14345863,15.02.17 18:09:18,14,55731,55731
14345911,15.02.17 20:56:03,10,654,654
14346025,16.02.17 12:57:03,5,508,0
14346151,16.02.17 18:57:21,7,7064,7064
14346178,16.02.17 20:42:48,17,1200,1200
14346547,17.02.17 15:30:28,3,486,486
14347648,19.02.17 16:02:52,11,8248,8248
14348059,20.02.17 14:12:30,15,15669,15669
14348154,20.02.17 15:59:00,14,10998,10998
14348380,21.02.17 9:28:11,1,445,445
14348392,21.02.17 9:51:19,6,3080,3080
14349113,23.02.17 11:45:32,6,607,607
14349325,23.02.17 20:55:16,1,1385,1385
14349663,24.02.17 14:53:45,8,4410,4410
14350244,25.02.17 16:38:51,22,10000,10000
14351023,27.02.17 10:20:54,8,4218,4218
14351288,27.02.17 16:55:22,16,275,275
14351438,27.02.17 23:34:41,14,1088,1088
14351518,28.02.17 10:27:34,16,40435,40435
14351534,28.02.17 10:47:08,9,2656,2656
14351596,28.02.17 12:20:06,14,8690,0
14352105,01.03.17 18:18:53,13,18934,18934
14352153,01.03.17 21:40:53,18,448,448
14352431,03.03.17 9:16:17,21,2432,2432
14352521,03.03.17 11:57:44,13,16524,16524
14352547,03.03.17 12:37:32,3,8491,8491
14352642,03.03.17 14:41:55,2,3705,3705
14352654,03.03.17 14:51:56,10,3505,3505
14352956,04.03.17 9:13:29,11,336,336
14352993,04.03.17 10:15:44,14,2755,2755
14353238,04.03.17 15:54:00,9,838,838
14353640,05.03.17 12:50:33,22,10545,10545
14353896,05.03.17 20:09:18,17,585,585
14353924,05.03.17 21:13:33,1,19481,19481
14354150,06.03.17 12:39:07,1,35027,35027
14354212,06.03.17 14:09:41,13,6530,6530
14354226,06.03.17 14:26:33,12,2930,2930
14355115,09.03.17 18:12:55,2,765,765
14355159,09.03.17 22:02:58,22,162,162
14355185,10.03.17 7:06:38,1,10336,10336
14355663,11.03.17 13:52:00,19,1608,1608
