ndoc,Date_or_order,Cust_ID,Sum_RUR,Pmnt_RUR
14444805,13.10.17 15:08:53,20,560,560
14444865,13.10.17 16:21:47,8,806,806
14445112,14.10.17 9:45:28,18,12303,12303
14445598,14.10.17 23:27:08,20,70253,70253
14445845,15.10.17 14:13:36,13,13105,13105
14446022,15.10.17 19:11:15,20,720,720
14446293,16.10.17 13:19:14,2,13150,13150
14446315,16.10.17 13:53:05,13,44463,44463
14446342,16.10.17 14:37:26,5,333,333
14446854,17.10.17 15:26:48,16,1700,1700
14447465,20.10.17 9:41:13,12,972,972
14447475,20.10.17 9:53:34,17,522,522
14447478,20.10.17 9:56:24,2,1265,1265
14447506,20.10.17 10:49:29,19,4140,4140
14449237,23.10.17 16:21:44,3,1305,1305
14449266,23.10.17 17:02:38,19,1821,0
14449381,23.10.17 23:37:01,11,163,163
14449399,24.10.17 7:05:09,17,13321,13321
14449446,24.10.17 9:42:36,17,9360,9360
14450110,26.10.17 14:01:09,3,4448,4448
14450698,27.10.17 20:03:39,21,1734,1734
14450730,27.10.17 22:05:01,1,340,340
14451204,28.10.17 21:36:18,20,6820,6820
14451283,29.10.17 9:24:48,11,2160,2160
14451369,29.10.17 11:23:47,19,1090,1090
14451565,29.10.17 15:54:18,19,3600,3600
14451693,29.10.17 23:44:55,11,4554,4554
14452009,30.10.17 16:43:18,11,31542,31542
14452611,01.11.17 18:11:09,4,10395,10395
14452649,01.11.17 21:53:26,16,102,102
14452732,02.11.17 12:29:24,10,3280,3280
14452950,03.11.17 13:48:01,8,246,246
14453041,03.11.17 19:26:01,21,9280,9280
14453102,04.11.17 9:34:57,17,3060,3060
14453216,04.11.17 17:03:07,7,15700,15700
14453279,04.11.17 21:46:28,20,6125,6125
14453910,06.11.17 11:36:10,5,37117,37117
14454575,07.11.17 18:13:51,16,1206,1206
14454626,07.11.17 21:56:01,8,30329,30329
14455008,09.11.17 14:58:07,8,17704,17704
14455919,11.11.17 14:59:18,1,3984,3984
14456805,13.11.17 12:42:59,10,50550,50550
14457470,14.11.17 18:06:21,14,496,496
14457509,14.11.17 20:31:50,5,4320,4320
14457823,16.11.17 7:05:25,16,646,0
14458067,17.11.17 8:53:08,8,1352,1352
14458363,17.11.17 15:46:40,7,850,850
14458551,17.11.17 22:43:05,2,2480,2480
14459322,19.11.17 14:02:28,18,3960,3960
14459332,19.11.17 14:08:29,1,1935,1935
14459777,20.11.17 12:37:14,18,3015,3015
14460689,22.11.17 19:17:49,15,8072,8072
14460871,23.11.17 17:01:48,15,8240,8240
14460886,23.11.17 18:00:08,21,3366,3366
14460896,23.11.17 18:41:27,5,2395,2395
14461563,25.11.17 10:33:43,15,56,56
14462072,26.11.17 9:18:17,15,4340,4340
14462076,26.11.17 9:28:57,15,476,476
14462410,26.11.17 16:59:13,22,1855,1855
14462538,26.11.17 22:16:35,17,1757,1757
14463484,28.11.17 23:50:58,22,843,843
14463708,29.11.17 22:04:18,3,295,295
14463780,30.11.17 12:28:42,19,4158,4158
14464692,02.12.17 13:45:10,9,13941,13941
14464850,02.12.17 17:31:12,17,145,145
14465249,03.12.17 14:46:12,11,285,285
14465458,03.12.17 22:33:38,22,20796,20796
14465547,04.12.17 10:20:10,1,560,0
14465625,04.12.17 12:20:11,15,791,791
14465895,04.12.17 20:04:26,18,828,828
14465900,04.12.17 20:11:50,22,14210,14210
14466007,05.12.17 8:43:15,6,2163,2163
14466330,05.12.17 16:53:41,15,1062,1062
14466461,08.12.17 8:59:58,6,1180,1180
14466829,08.12.17 15:26:38,20,1248,1248
14467021,08.12.17 19:52:27,15,2424,0
